Region,Year,Registered_Voters,Turnout_Percent,Actual_Voters
BARMM,2007,1384626.0,80.22,1110815.0
BARMM,2010,1816530.0,70.48,1280220.0
BARMM,2013,1468584.0,82.31,1208743.0
BARMM,2016,1863230.0,82.23,1532140.0
BARMM,2019,2172959.0,73.97,1607326.0
BARMM,2022,2588193.0,77.54,2006872.0
BARMM,2025,2210464.0,78.78,1741465.0
CAR,2007,790010.0,74.93,591979.0
CAR,2010,905010.0,76.37,691152.0
CAR,2013,924751.0,77.74,718902.0
CAR,2016,906162.0,83.4,755772.0
CAR,2019,1013418.0,78.53,795792.0
CAR,2022,1077900.0,85.46,921227.0
CAR,2025,1069193.0,85.58,915033.0
I-Ilocos Region,2007,2404012.0,80.68,1939639.0
I-Ilocos Region,2010,2808712.0,81.09,2277651.0
I-Ilocos Region,2013,2865115.0,82.52,2364308.0
I-Ilocos Region,2016,2950775.0,85.58,2525358.0
I-Ilocos Region,2019,3331404.0,80.93,2696074.0
I-Ilocos Region,2022,3546764.0,87.54,3104841.0
I-Ilocos Region,2025,3610066.0,87.46,3157514.0
II-Cagayan Valley,2007,1599510.0,74.01,1183845.0
II-Cagayan Valley,2010,1833137.0,75.64,1386611.0
II-Cagayan Valley,2013,1871822.0,78.85,1475903.0
II-Cagayan Valley,2016,1920952.0,83.02,1594813.0
II-Cagayan Valley,2019,2194418.0,77.26,1695403.0
II-Cagayan Valley,2022,2312797.0,84.38,1951482.0
II-Cagayan Valley,2025,2282027.0,84.85,1936276.0
III-Central Luzon,2007,5097299.0,72.77,3709301.0
III-Central Luzon,2010,5675830.0,76.3,4330837.0
III-Central Luzon,2013,5822678.0,78.06,4544930.0
III-Central Luzon,2016,6056392.0,82.38,4989374.0
III-Central Luzon,2019,6829661.0,77.1,5265335.0
III-Central Luzon,2022,7289791.0,86.48,6304414.0
III-Central Luzon,2025,7650301.0,84.79,6486643.0
IV-A-CALABARZON,2007,5743100.0,70.16,4029272.0
IV-A-CALABARZON,2010,6771140.0,72.7,4922361.0
IV-A-CALABARZON,2013,7205067.0,72.13,5197200.0
IV-A-CALABARZON,2016,7619272.0,77.81,5928566.0
IV-A-CALABARZON,2019,8674351.0,71.25,6180510.0
IV-A-CALABARZON,2022,9193096.0,83.06,7635624.0
IV-A-CALABARZON,2025,9572790.0,80.78,7732461.0
IX-Zamboanga Peninsula ,2007,1695970.0,70.57,1196786.0
IX-Zamboanga Peninsula ,2010,1861565.0,69.83,1299848.0
IX-Zamboanga Peninsula ,2013,1981427.0,72.63,1439050.0
IX-Zamboanga Peninsula ,2016,1931795.0,77.54,1498007.0
IX-Zamboanga Peninsula ,2019,2193033.0,74.61,1636148.0
IX-Zamboanga Peninsula ,2022,2298930.0,81.67,1877471.0
IX-Zamboanga Peninsula ,2025,2344601.0,83.58,1939965.0
MIMAROPA Region,2007,1267695.0,75.27,954237.0
MIMAROPA Region,2010,1475268.0,75.29,1110730.0
MIMAROPA Region,2013,1552520.0,77.21,1198683.0
MIMAROPA Region,2016,1589326.0,81.46,1294666.0
MIMAROPA Region,2019,1831328.0,76.0,1391895.0
MIMAROPA Region,2022,1991599.0,83.89,1670695.0
MIMAROPA Region,2025,1962271.0,82.83,1625323.0
